,text_number,screen_number,sentence_number,w_in_sent_id,w_in_screen_id,deps,n_rights,n_lefts,dep_distance,word_length,surprisal_gpt,contains_punctuation,lex_freq_unk,lex_freq,PoS-Tag
7203,13,5,5,3,69,nk,0,0,-1,3,1.151030421257019,FALSE,FALSE,80100.30691,art
7204,13,5,5,4,70,ag,0,1,2,7,5.927826881408691,FALSE,FALSE,167.6626951,nn
7205,13,5,5,5,71,ROOT,3,1,0,5,6.824315071105957,FALSE,FALSE,89.65609135,vvfin
7206,13,5,5,6,72,svp,0,0,1,8,5.876952171325684,FALSE,FALSE,248.882105,ptkvz
7207,13,5,5,7,73,op,1,0,2,3,0.025993740186095238,FALSE,FALSE,6727.329731,appr
7208,13,5,5,8,74,nk,0,0,-1,3,1.016769289970398,FALSE,FALSE,80100.30691,art
7209,13,5,5,9,75,nk,1,1,2,10,3.832127809524536,FALSE,FALSE,30.01889007,nn
7210,13,5,5,10,76,nk,0,0,-1,3,0.9047715067863464,FALSE,FALSE,80100.30691,art
7211,13,5,5,11,77,ag,2,1,2,10,10.870712280273438,TRUE,FALSE,44.37432879,nn
7212,13,5,5,12,78,oa,0,0,-5,10,0.7357073426246643,FALSE,FALSE,41.10429719,nn
7213,13,5,5,13,79,mo,1,0,-4,3,10.985969543457031,FALSE,FALSE,6727.329731,appr
7214,13,5,5,14,80,nk,0,0,-1,12,4.495144367218018,FALSE,FALSE,20.80557604,adja
7215,13,5,5,15,81,nk,0,1,2,8,7.121943950653076,FALSE,FALSE,30.82004781,nn
7216,13,5,5,16,82,pm,0,0,-1,2,4.556302070617676,FALSE,FALSE,9058.935837,ptkzu
7217,13,5,5,17,83,oc,1,3,7,10,0.4993775188922882,FALSE,FALSE,152.3752974,vvinf
7218,13,5,5,18,84,cd,1,0,1,3,5.831475257873535,FALSE,FALSE,23398.58848,kon
7219,13,5,5,19,85,mo,1,0,-8,3,2.2037904262542725,FALSE,FALSE,6727.329731,appr
7220,13,5,5,20,86,nk,0,0,-1,6,4.144200801849365,FALSE,FALSE,4932.973467,pdat
7221,13,5,5,21,87,nk,0,1,2,8,3.7830867767333984,FALSE,FALSE,30.82004781,nn
7222,13,5,5,22,88,oa,1,0,-5,8,6.719365119934082,FALSE,FALSE,46.00934459,nn
7223,13,5,5,23,89,mnr,1,0,1,4,6.979056358337402,FALSE,FALSE,2237.960575,appr
7224,13,5,5,24,90,nk,0,0,-1,3,1.1861915588378906,FALSE,FALSE,80100.30691,art
7225,13,5,5,25,91,nk,0,1,2,4,1.1845641136169434,FALSE,FALSE,460.9027787,nn
7226,13,5,5,26,92,pm,0,0,-1,2,3.6255970001220703,FALSE,FALSE,9058.935837,ptkzu
7227,13,5,5,27,93,cj,0,3,9,7,0.8976677656173706,TRUE,FALSE,1189.621145,vvinf
7228,13,5,6,1,94,mo,0,0,-1,8,11.297957420349121,FALSE,FALSE,121.3753979,adv
7229,13,5,6,2,95,ROOT,3,1,0,6,3.224355936050415,FALSE,FALSE,3346.018958,vmfin
7230,13,5,6,3,96,nk,0,0,-1,5,4.334936141967773,FALSE,FALSE,4932.973467,pdat
